Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Dzire,Maruti,Ahmedabad,2017,21576,Petrol,Automatic,1,0,1197.0,83.0,5.0,570000
Tata Tiago,Tata,Ahmedabad,2021,11786,Petrol,Manual,1,0,1199.0,86.0,5.0,552000
Renault Kwid,Renault,Ahmedabad,2021,13438,Petrol,Manual,1,0,999.0,68.0,5.0,437000
Ford Ecosport,Ford,Ahmedabad,2020,22046,Petrol,Manual,1,0,1496.0,122.0,5.0,844000
Maruti Swift,Maruti,Ahmedabad,2021,24487,Petrol,Automatic,1,0,1197.0,90.0,5.0,759000
Renault Kwid,Renault,Ahmedabad,2021,42360,Petrol,Manual,1,0,799.0,54.0,5.0,412000
Hyundai NEW SANTRO,Hyundai,Ahmedabad,2020,41671,Petrol,Manual,1,0,1086.0,69.0,5.0,439600
Volkswagen Ameo,Volkswagen,Ahmedabad,2018,64394,Diesel,Manual,2,0,1498.0,110.0,5.0,574000
Mahindra XUV700,Mahindra,Ahmedabad,2022,38833,Diesel,Automatic,1,0,2184.0,185.0,7.0,2286000
Honda WR-V,Honda,Ahmedabad,2017,104509,Petrol,Manual,1,0,1199.0,90.0,5.0,578400
Hyundai Elite i20,Hyundai,Ahmedabad,2016,80656,Petrol,Manual,1,0,1197.0,83.0,5.0,511000
Jeep Compass,Jeep,Ahmedabad,2017,97907,Diesel,Manual,1,0,1956.0,173.0,5.0,885000
Honda Jazz,Honda,Ahmedabad,2016,109934,Petrol,Manual,2,0,1199.0,90.0,5.0,345000
Maruti Alto K10,Maruti,Ahmedabad,2023,9048,Petrol,Manual,1,0,998.0,67.0,5.0,483000
Hyundai VENUE,Hyundai,Ahmedabad,2021,14586,Petrol,Automatic,1,0,998.0,120.0,5.0,1022000
Maruti Swift,Maruti,Ahmedabad,2016,55170,Petrol,Manual,1,0,1197.0,84.0,5.0,461000
Tata Tiago,Tata,Ahmedabad,2021,23447,Petrol,Automatic,2,0,1199.0,86.0,5.0,633000
Hyundai VENUE,Hyundai,Ahmedabad,2021,5896,Petrol,Manual,2,0,998.0,120.0,5.0,868000
Hyundai VENUE,Hyundai,Ahmedabad,2021,33945,Petrol,Automatic,2,0,998.0,120.0,5.0,903000
Maruti Alto 800,Maruti,Ahmedabad,2016,68741,Petrol,Manual,2,0,796.0,48.0,5.0,243000
Jeep Compass,Jeep,Ahmedabad,2019,47095,Petrol,Automatic,1,0,1368.0,163.0,5.0,1163000
Volkswagen Vento,Volkswagen,Ahmedabad,2022,23943,Petrol,Automatic,1,0,999.0,110.0,5.0,1072000
Honda City,Honda,Ahmedabad,2013,85713,CNG,Manual,1,0,1497.0,118.0,5.0,397000
MG HECTOR,MG,Ahmedabad,2022,21027,Petrol,Manual,1,0,1451.0,143.0,5.0,1296000
Renault Kwid,Renault,Ahmedabad,2022,29056,Petrol,Manual,1,0,799.0,54.0,5.0,430000
Hyundai i10,Hyundai,Ahmedabad,2013,63577,Petrol,Manual,2,0,1086.0,69.0,5.0,264450
Maruti Alto 800,Maruti,Ahmedabad,2017,110866,Petrol,Manual,3,0,796.0,48.0,5.0,245000
Tata Safari,Tata,Ahmedabad,2021,23728,Diesel,Manual,2,0,1956.0,170.0,7.0,1462600
Tata Safari,Tata,Ahmedabad,2022,39984,Diesel,Manual,1,0,1956.0,170.0,7.0,1640000
Tata NEXON,Tata,Ahmedabad,2022,17501,Petrol,Manual,1,0,1199.0,120.0,5.0,1009000
Hyundai Creta,Hyundai,Ahmedabad,2017,111349,Diesel,Automatic,2,0,1582.0,128.0,5.0,831000
Hyundai Creta,Hyundai,Ahmedabad,2018,122548,Diesel,Manual,1,0,1582.0,128.0,5.0,1062000
Hyundai Grand i10,Hyundai,Ahmedabad,2019,44726,CNG,Manual,2,0,1197.0,83.0,5.0,533000
Mahindra XUV300,Mahindra,Ahmedabad,2022,26634,Petrol,Manual,1,0,1197.0,110.0,5.0,870000
Maruti Wagon R 1.0,Maruti,Ahmedabad,2016,97105,Petrol,Manual,1,0,998.0,68.0,5.0,314000
Hyundai Grand i10,Hyundai,Ahmedabad,2015,45166,Petrol,Manual,1,0,1197.0,83.0,5.0,399000
Maruti Alto,Maruti,Ahmedabad,2019,51627,Petrol,Manual,1,0,796.0,48.0,5.0,324000
Honda Amaze,Honda,Ahmedabad,2019,48876,Petrol,Manual,1,0,1199.0,90.0,5.0,581000
Hyundai Elite i20,Hyundai,Ahmedabad,2016,33335,Petrol,Manual,2,0,1197.0,83.0,5.0,524500
Ford Ecosport,Ford,Ahmedabad,2018,36614,Petrol,Automatic,1,0,1497.0,123.0,5.0,834000
Tata Tiago,Tata,Ahmedabad,2022,26378,CNG,Manual,1,0,1199.0,73.0,5.0,702000
Maruti Ciaz,Maruti,Ahmedabad,2023,8899,Petrol,Manual,1,0,1462.0,105.0,5.0,965000
Hyundai GRAND I10 NIOS,Hyundai,Ahmedabad,2021,39064,Petrol,Manual,2,0,1197.0,83.0,5.0,627000
Renault TRIBER,Renault,Ahmedabad,2021,48280,Petrol,Manual,1,0,999.0,72.0,7.0,588650
Hyundai VENUE,Hyundai,Ahmedabad,2021,37550,Petrol,Manual,1,0,998.0,120.0,5.0,894000
Tata Harrier,Tata,Ahmedabad,2021,49105,Diesel,Automatic,1,0,1956.0,170.0,5.0,1695000
Tata TIGOR,Tata,Ahmedabad,2022,12248,Petrol,Automatic,1,0,1199.0,86.0,5.0,742000
Maruti Alto,Maruti,Ahmedabad,2019,46640,Petrol,Manual,1,0,796.0,48.0,5.0,322000
Hyundai GRAND I10 NIOS,Hyundai,Ahmedabad,2021,42935,Petrol,Manual,1,0,1197.0,83.0,5.0,616000
Maruti New Wagon-R,Maruti,Ahmedabad,2023,2090,Petrol,Automatic,1,0,998.0,67.0,5.0,623000
KIA SONET,KIA,Ahmedabad,2022,8535,Petrol,Manual,1,0,998.0,120.0,5.0,1020000
Hyundai Elite i20,Hyundai,Ahmedabad,2016,98208,Petrol,Manual,1,0,1197.0,83.0,5.0,534000
Tata Tiago,Tata,Ahmedabad,2021,13321,Petrol,Automatic,1,0,1199.0,86.0,5.0,654000
Maruti Baleno,Maruti,Ahmedabad,2019,42955,Petrol,Automatic,1,0,1197.0,84.0,5.0,631000
Hyundai VENUE,Hyundai,Ahmedabad,2019,23373,Petrol,Manual,1,0,998.0,120.0,5.0,825000
MG HECTOR,MG,Ahmedabad,2021,94595,Diesel,Manual,1,0,1956.0,170.0,5.0,1381000
Tata Harrier,Tata,Ahmedabad,2022,23558,Diesel,Manual,1,0,1956.0,170.0,5.0,1945000
Hyundai Xcent,Hyundai,Ahmedabad,2014,118087,CNG,Manual,1,0,1197.0,83.0,5.0,380000
Maruti Baleno,Maruti,Ahmedabad,2018,104977,Petrol,Automatic,1,0,1197.0,84.0,5.0,518000
