Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Alto K10,Maruti,Hyderabad,2012,96552,Petrol,Manual,1,0,998.0,68.0,5.0,173000
Volkswagen Ameo,Volkswagen,Hyderabad,2018,116854,Petrol,Manual,2,0,999.0,76.0,5.0,498000
Maruti Baleno,Maruti,Hyderabad,2018,63296,Petrol,Manual,1,0,1197.0,84.0,5.0,534000
Renault Duster,Renault,Hyderabad,2012,68555,Diesel,Manual,1,0,1461.0,85.0,5.0,340000
Maruti Alto,Maruti,Hyderabad,2021,45381,Petrol,Manual,1,0,796.0,48.0,5.0,391000
Honda Brio,Honda,Hyderabad,2018,90872,Petrol,Manual,1,0,1198.0,88.0,5.0,369500
Honda Jazz,Honda,Hyderabad,2015,56906,Petrol,Automatic,2,0,1199.0,90.0,5.0,464000
Maruti Swift Dzire,Maruti,Hyderabad,2016,34781,Petrol,Manual,1,0,1197.0,84.0,5.0,515000
Maruti Dzire,Maruti,Hyderabad,2018,68760,Petrol,Automatic,1,0,1197.0,83.0,5.0,623000
Ford Ecosport,Ford,Hyderabad,2018,113894,Diesel,Manual,1,0,1498.0,101.0,5.0,824000
Nissan Terrano,Nissan,Hyderabad,2016,79645,Diesel,Manual,1,0,1461.0,85.0,5.0,573000
Mahindra XUV500,Mahindra,Hyderabad,2019,86802,Diesel,Automatic,1,0,2179.0,155.0,7.0,1342000
Honda City,Honda,Hyderabad,2020,15890,Petrol,Manual,1,0,1497.0,119.0,5.0,932000
Renault Duster,Renault,Hyderabad,2020,30952,Petrol,Manual,1,0,1330.0,156.0,5.0,768000
Hyundai Creta,Hyundai,Hyderabad,2017,58022,Petrol,Manual,2,0,1591.0,123.0,5.0,752000
Maruti Swift Dzire,Maruti,Hyderabad,2014,62067,Petrol,Manual,1,0,1197.0,87.0,5.0,451000
Tata NEXON,Tata,Hyderabad,2020,51910,Diesel,Manual,1,0,1497.0,110.0,5.0,1025000
Maruti Swift,Maruti,Hyderabad,2012,62234,Diesel,Manual,2,0,1248.0,75.0,5.0,370000
Skoda Rapid,Skoda,Hyderabad,2018,55595,Petrol,Automatic,1,0,1598.0,105.0,5.0,794700
Ford Ecosport,Ford,Hyderabad,2017,70033,Petrol,Manual,2,0,1499.0,112.0,5.0,679000
Maruti Dzire,Maruti,Hyderabad,2019,19029,Petrol,Automatic,1,0,1197.0,83.0,5.0,690000
Maruti Alto K10,Maruti,Hyderabad,2011,81585,Petrol,Manual,2,0,998.0,68.0,5.0,185000
Toyota Etios,Toyota,Hyderabad,2013,82590,Petrol,Manual,2,0,1496.0,90.0,5.0,387000
Hyundai VENUE,Hyundai,Hyderabad,2021,52639,Petrol,Manual,1,0,998.0,120.0,5.0,824000
Maruti Baleno,Maruti,Hyderabad,2023,7563,Petrol,Manual,1,0,1197.0,90.0,5.0,918000
Maruti Alto K10,Maruti,Hyderabad,2011,34213,Petrol,Manual,1,0,998.0,68.0,5.0,191000
Renault Duster,Renault,Hyderabad,2012,76111,Diesel,Manual,1,0,1461.0,85.0,5.0,401000
Renault Kwid,Renault,Hyderabad,2018,40522,Petrol,Manual,1,0,799.0,54.0,5.0,334000
Jeep Compass,Jeep,Hyderabad,2018,122168,Diesel,Manual,2,0,1956.0,173.0,5.0,1084000
Maruti Alto K10,Maruti,Hyderabad,2018,44407,Petrol,Manual,2,0,998.0,68.0,5.0,302000
Hyundai i10,Hyundai,Hyderabad,2015,67644,Petrol,Manual,3,0,1086.0,69.0,5.0,303000
Maruti Dzire,Maruti,Hyderabad,2019,41666,Petrol,Automatic,1,0,1197.0,83.0,5.0,682000
Renault Kwid,Renault,Hyderabad,2018,87072,Petrol,Automatic,1,0,999.0,68.0,5.0,362000
Hyundai Elite i20,Hyundai,Hyderabad,2016,46532,Petrol,Manual,1,0,1197.0,83.0,5.0,626000
Honda City,Honda,Hyderabad,2015,98048,Petrol,Manual,1,0,1497.0,119.0,5.0,520000
