Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti IGNIS,Maruti,Mumbai,2020,20435,Petrol,Manual,1,0,1197,83,5.0,554000
Hyundai VENUE,Hyundai,Mumbai,2021,34705,Petrol,Manual,1,0,998,120,5.0,839000
Honda City,Honda,Mumbai,2015,61228,Petrol,Manual,1,0,1497,119,5.0,516000
Maruti Swift,Maruti,Mumbai,2011,67725,Petrol,Manual,2,0,1197,87,5.0,297000
Maruti Swift,Maruti,Mumbai,2015,76928,Petrol,Manual,2,0,1197,84,5.0,389000
Honda Jazz,Honda,Mumbai,2015,34003,Petrol,Automatic,1,0,1199,90,5.0,470000
Volkswagen Ameo,Volkswagen,Mumbai,2016,11546,Petrol,Manual,1,0,1198,75,5.0,484000
Jeep Compass,Jeep,Mumbai,2017,99924,Diesel,Manual,1,0,1956,173,5.0,945650
Hyundai Elite i20,Hyundai,Mumbai,2018,75355,Diesel,Manual,2,0,1396,90,5.0,660000
Renault Kiger,Renault,Mumbai,2021,46060,Petrol,Manual,1,0,999,72,5.0,538000
Skoda Rapid,Skoda,Mumbai,2017,84858,Petrol,Automatic,3,0,1598,105,5.0,518000
Maruti Ciaz,Maruti,Mumbai,2015,85628,Petrol,Manual,1,0,1373,92,5.0,470000
Hyundai Creta,Hyundai,Mumbai,2015,76643,Petrol,Manual,2,0,1591,123,5.0,632000
Maruti Vitara Brezza,Maruti,Mumbai,2017,53140,Diesel,Manual,1,0,1248,90,5.0,629000
Jeep Compass,Jeep,Mumbai,2019,10405,Petrol,Manual,1,0,1368,163,5.0,1091000
Hyundai Elite i20,Hyundai,Mumbai,2015,77613,Petrol,Manual,1,0,1197,83,5.0,443000
Maruti Wagon R 1.0,Maruti,Mumbai,2018,34473,Petrol,Automatic,2,0,998,68,5.0,366000
Hyundai New Elantra,Hyundai,Mumbai,2017,76064,Petrol,Automatic,2,0,1999,152,5.0,806000
Ford Ecosport,Ford,Mumbai,2015,43187,Petrol,Automatic,1,0,1499,112,5.0,512000
Maruti Baleno,Maruti,Mumbai,2017,76316,Petrol,Manual,2,0,1197,84,5.0,411200
Tata Tiago,Tata,Mumbai,2021,34270,Petrol,Automatic,1,0,1199,86,5.0,589000
Hyundai i20,Hyundai,Mumbai,2014,35207,Petrol,Manual,2,0,1197,84,5.0,366000
Honda City,Honda,Mumbai,2014,61542,Petrol,Manual,1,0,1497,118,5.0,449000
Hyundai Grand i10,Hyundai,Mumbai,2018,113120,Diesel,Manual,1,0,1186,75,5.0,433000
Volkswagen Polo,Volkswagen,Mumbai,2015,54590,Petrol,Automatic,1,0,1197,105,5.0,535000
Skoda Rapid,Skoda,Mumbai,2013,90993,Petrol,Manual,1,0,1598,105,5.0,342000
Volkswagen Polo,Volkswagen,Mumbai,2014,46222,Petrol,Manual,3,0,1198,75,5.0,355600
Maruti Swift Dzire,Maruti,Mumbai,2016,49757,Petrol,Manual,2,0,1197,84,5.0,439000
Mahindra XUV300,Mahindra,Mumbai,2022,13010,Petrol,Automatic,2,0,1197,110,5.0,940300
Maruti Dzire,Maruti,Mumbai,2023,12653,Petrol,Automatic,1,0,1197,90,5.0,828000
Volkswagen Polo,Volkswagen,Mumbai,2012,61164,Petrol,Manual,1,0,1198,75,5.0,303000
Maruti Wagon R Stingray,Maruti,Mumbai,2013,35954,Petrol,Manual,1,0,998,68,5.0,299000
Maruti Ertiga,Maruti,Mumbai,2017,94570,Diesel,Manual,1,0,1248,90,7.0,877000
KIA SELTOS,KIA,Mumbai,2020,65200,Petrol,Automatic,1,0,1353,140,5.0,1350000
Maruti BREZZA,Maruti,Mumbai,2022,5377,Petrol,Manual,1,0,1462,103,5.0,1159000
Maruti Baleno,Maruti,Mumbai,2016,34019,Petrol,Automatic,1,0,1197,84,5.0,526000
Honda Jazz,Honda,Mumbai,2017,45773,Petrol,Automatic,1,0,1199,90,5.0,466000
Ford Ecosport,Ford,Mumbai,2019,30825,Petrol,Manual,2,0,999,125,5.0,766000
Hyundai Creta,Hyundai,Mumbai,2018,50556,Petrol,Manual,1,0,1591,123,5.0,835000
Ford Ecosport,Ford,Mumbai,2016,41949,Petrol,Automatic,1,0,1499,112,5.0,598000
Toyota Etios Liva,Toyota,Mumbai,2011,79645,Petrol,Manual,1,0,1197,80,5.0,228000
Maruti Baleno,Maruti,Mumbai,2015,56687,Diesel,Manual,1,0,1248,75,5.0,590000
