Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Volkswagen Ameo,Volkswagen,Pune,2016,32602,Diesel,Automatic,3,0,1498,110,5.0,529000
Maruti BREZZA,Maruti,Pune,2023,8892,Petrol,Manual,1,0,1462,103,5.0,1223000
Nissan Terrano,Nissan,Pune,2018,97762,Diesel,Manual,1,0,1461,85,5.0,637000
Hyundai Verna,Hyundai,Pune,2014,79670,CNG,Manual,2,0,1591,123,5.0,466000
Maruti Dzire,Maruti,Pune,2017,37274,Petrol,Automatic,1,0,1197,83,5.0,625000
Datsun Redi Go,Datsun,Pune,2021,6856,Petrol,Automatic,1,0,999,68,5.0,408000
Honda City,Honda,Pune,2021,14167,Petrol,Manual,1,0,1498,121,5.0,1129000
Skoda KUSHAQ,Skoda,Pune,2022,13755,Petrol,Manual,1,0,999,115,5.0,1332000
Maruti Alto K10,Maruti,Pune,2011,62918,Petrol,Manual,1,0,998,68,5.0,212000
Maruti Wagon R 1.0,Maruti,Pune,2017,103885,CNG,Manual,1,0,998,59,5.0,383000
Toyota Etios,Toyota,Pune,2014,45668,Petrol,Manual,1,0,1496,90,5.0,408000
Renault Kwid,Renault,Pune,2021,5398,Petrol,Automatic,1,0,999,68,5.0,518000
Renault Kwid,Renault,Pune,2017,27581,Petrol,Automatic,1,0,999,68,5.0,421000
Maruti Wagon R 1.0,Maruti,Pune,2012,71101,Petrol,Manual,1,0,998,68,5.0,266000
Toyota Glanza,Toyota,Pune,2019,24936,Petrol,Automatic,1,0,1197,83,5.0,741000
Tata NEXON,Tata,Pune,2019,57761,Petrol,Automatic,2,0,1198,110,5.0,809000
Volkswagen Polo,Volkswagen,Pune,2018,101656,Petrol,Manual,1,0,999,76,5.0,506000
Hyundai Eon,Hyundai,Pune,2014,48229,Petrol,Manual,2,0,814,56,5.0,271000
Maruti Swift Dzire,Maruti,Pune,2013,100777,Diesel,Manual,1,0,1248,75,5.0,467000
Maruti Baleno,Maruti,Pune,2021,9524,Petrol,Automatic,2,0,1197,83,5.0,775000
Honda WR-V,Honda,Pune,2017,66310,Diesel,Manual,1,0,1498,100,5.0,779000
Tata Harrier,Tata,Pune,2021,67148,Diesel,Automatic,1,0,1956,170,5.0,1782000
Maruti Wagon R 1.0,Maruti,Pune,2014,63012,Petrol,Manual,1,0,998,68,5.0,310000
Renault Kwid,Renault,Pune,2018,37113,Petrol,Automatic,1,0,999,68,5.0,398000
Maruti Swift Dzire,Maruti,Pune,2014,63296,Petrol,Manual,1,0,1197,87,5.0,435000
Maruti Alto 800,Maruti,Pune,2017,69275,Petrol,Manual,1,0,796,48,5.0,293000
Mahindra XUV300,Mahindra,Pune,2021,27247,Petrol,Automatic,1,0,1197,110,5.0,1054000
Maruti Wagon R 1.0,Maruti,Pune,2014,97419,CNG,Manual,2,0,998,59,5.0,341000
Maruti Wagon R 1.0,Maruti,Pune,2011,85612,Petrol,Manual,1,0,998,68,5.0,256000
Maruti New Wagon-R,Maruti,Pune,2023,12621,Petrol,Automatic,1,0,998,67,5.0,650600
Honda Amaze,Honda,Pune,2015,26400,Petrol,Manual,2,0,1198,88,5.0,416000
Maruti Baleno,Maruti,Pune,2019,39639,Petrol,Manual,2,0,1197,84,5.0,548000
Hyundai i10,Hyundai,Pune,2013,75011,Petrol,Automatic,2,0,1197,80,5.0,316000
Renault Kwid,Renault,Pune,2021,22171,Petrol,Automatic,2,0,999,68,5.0,453000
Renault TRIBER,Renault,Pune,2023,7911,Petrol,Manual,1,0,999,72,7.0,713400
Hyundai Xcent,Hyundai,Pune,2017,70800,CNG,Manual,1,0,1197,83,5.0,493000
Maruti Vitara Brezza,Maruti,Pune,2021,17902,Petrol,Automatic,1,0,1462,105,5.0,893000
Skoda Rapid,Skoda,Pune,2014,80811,Diesel,Automatic,2,0,1598,105,5.0,422000
Renault TRIBER,Renault,Pune,2021,15856,Petrol,Automatic,1,0,999,72,7.0,689000
Hyundai Verna,Hyundai,Pune,2017,37294,Petrol,Manual,3,0,1591,123,5.0,683000
Maruti S PRESSO,Maruti,Pune,2022,20971,CNG,Manual,1,0,998,60,4.0,489000
Maruti Celerio,Maruti,Pune,2017,8444,Petrol,Automatic,1,0,998,68,5.0,412200
Hyundai NEW SANTRO,Hyundai,Pune,2019,63469,CNG,Manual,1,0,1086,60,5.0,473000
MG HECTOR,MG,Pune,2020,53210,Petrol,Automatic,1,0,1451,143,5.0,1350000
Hyundai Creta,Hyundai,Pune,2017,80736,Petrol,Manual,2,0,1591,123,5.0,767000
Tata NEXON,Tata,Pune,2018,49300,Diesel,Automatic,2,0,1497,110,5.0,715000
