Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Baleno,Maruti,Kolkata,2020,46197,Petrol,Manual,2,0,1197,83,5.0,582000
Hyundai Grand i10,Hyundai,Kolkata,2015,34580,Petrol,Manual,2,0,1197,83,5.0,393000
Maruti IGNIS,Maruti,Kolkata,2017,27027,Petrol,Manual,1,0,1197,83,5.0,415000
Honda City,Honda,Kolkata,2014,60590,Petrol,Manual,1,0,1497,119,5.0,350000
Hyundai Verna,Hyundai,Kolkata,2018,60647,Petrol,Manual,1,0,1591,123,5.0,705000
Maruti IGNIS,Maruti,Kolkata,2022,20634,Petrol,Manual,1,0,1197,83,5.0,648000
Renault TRIBER,Renault,Kolkata,2021,29603,Petrol,Manual,1,0,999,72,7.0,604800
Honda Amaze,Honda,Kolkata,2019,54427,Petrol,Manual,1,0,1199,90,5.0,564000
Tata Tiago,Tata,Kolkata,2023,7889,Petrol,Automatic,1,0,1199,86,5.0,685000
Maruti Swift,Maruti,Kolkata,2019,23964,Petrol,Manual,2,0,1197,83,5.0,516000
Maruti Alto,Maruti,Kolkata,2022,1011,Petrol,Manual,1,0,796,48,5.0,392000
Maruti Wagon R 1.0,Maruti,Kolkata,2018,38242,Petrol,Manual,1,0,998,68,5.0,371000
Maruti Ertiga,Maruti,Kolkata,2013,13087,Petrol,Manual,2,0,1373,95,7.0,411000
Maruti Alto K10,Maruti,Kolkata,2022,2821,Petrol,Manual,1,0,998,67,5.0,486000
Maruti Alto 800,Maruti,Kolkata,2016,17135,Petrol,Manual,2,0,796,48,5.0,223000
Maruti S PRESSO,Maruti,Kolkata,2019,36132,Petrol,Manual,2,0,998,68,5.0,370000
Honda Jazz,Honda,Kolkata,2017,13399,Petrol,Manual,1,0,1199,90,5.0,415000
Maruti Wagon R 1.0,Maruti,Kolkata,2012,60764,Petrol,Manual,3,0,998,68,5.0,244000
Honda City,Honda,Kolkata,2021,19944,Petrol,Manual,1,0,1498,121,5.0,871000
Maruti Alto,Maruti,Kolkata,2020,13604,Petrol,Manual,2,0,796,48,5.0,269000
Hyundai Creta,Hyundai,Kolkata,2016,77263,Diesel,Manual,1,0,1396,90,5.0,644000
Hyundai Xcent,Hyundai,Kolkata,2016,55447,Petrol,Manual,1,0,1197,83,5.0,345000
Maruti Alto 800,Maruti,Kolkata,2013,18360,Petrol,Manual,1,0,796,48,5.0,189000
Tata Tiago,Tata,Kolkata,2022,2146,Petrol,Manual,1,0,1199,86,5.0,568000
Hyundai Elite i20,Hyundai,Kolkata,2020,19157,Petrol,Manual,1,0,1197,83,5.0,634000
Honda City,Honda,Kolkata,2015,25125,Petrol,Manual,2,0,1497,119,5.0,419000
