Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai i20 Active,Hyundai,Chennai,2016,99715,Petrol,Manual,2,0,1197,83,5.0,535000
MG HECTOR,MG,Chennai,2020,8629,Petrol,Automatic,2,0,1451,143,5.0,1457600
Hyundai Grand i10,Hyundai,Chennai,2019,24065,Petrol,Manual,1,0,1197,83,5.0,583000
Honda City,Honda,Chennai,2013,96217,Petrol,Automatic,2,0,1497,118,5.0,404000
Tata ALTROZ,Tata,Chennai,2022,7244,Petrol,Automatic,2,0,1199,86,5.0,816000
Renault TRIBER,Renault,Chennai,2021,36518,Petrol,Manual,2,0,999,72,7.0,653000
Honda City,Honda,Chennai,2017,98074,Petrol,Automatic,1,0,1497,119,5.0,783000
Renault Kwid,Renault,Chennai,2022,12692,Petrol,Manual,1,0,999,68,5.0,505000
Maruti Eeco,Maruti,Chennai,2018,89866,Petrol,Manual,1,0,1196,73,5.0,387000
Hyundai Creta,Hyundai,Chennai,2016,92375,Petrol,Automatic,1,0,1591,123,5.0,833000
Maruti New Wagon-R,Maruti,Chennai,2019,98073,Petrol,Automatic,1,0,1197,83,5.0,502000
Renault TRIBER,Renault,Chennai,2021,32992,Petrol,Automatic,1,0,999,72,7.0,681000
Maruti New Wagon-R,Maruti,Chennai,2023,5098,Petrol,Manual,1,0,1197,90,5.0,663000
Hyundai Elite i20,Hyundai,Chennai,2018,77252,Diesel,Manual,1,0,1396,90,5.0,696000
Toyota URBAN CRUISER,Toyota,Chennai,2021,21177,Petrol,Automatic,2,0,1462,105,5.0,961000
Maruti Wagon R 1.0,Maruti,Chennai,2017,87698,Petrol,Automatic,1,0,998,68,5.0,398000
Mahindra XUV500,Mahindra,Chennai,2019,109163,Diesel,Manual,1,0,2179,155,7.0,1164000
MG HECTOR,MG,Chennai,2021,32496,Petrol,Automatic,2,0,1451,143,5.0,1529000
Ford Ecosport,Ford,Chennai,2016,94740,Petrol,Manual,2,0,1499,112,5.0,540000
Maruti Swift,Maruti,Chennai,2015,59237,Petrol,Manual,3,0,1197,84,5.0,434000
Volkswagen TAIGUN,Volkswagen,Chennai,2022,20959,Petrol,Manual,1,0,999,115,5.0,1410000
Honda City,Honda,Chennai,2017,61870,Petrol,Manual,1,0,1497,119,5.0,764000
Ford FREESTYLE,Ford,Chennai,2019,86744,Petrol,Manual,1,0,1194,96,5.0,536800
Renault Kiger,Renault,Chennai,2021,43283,Petrol,Automatic,1,0,999,72,5.0,719000
