Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Ciaz,Maruti,Bangalore,2016,87285,Petrol,Automatic,2,0,1373,92,5.0,613000
Tata Tiago,Tata,Bangalore,2016,70208,Petrol,Manual,2,0,1199,85,5.0,378000
Tata ALTROZ,Tata,Bangalore,2021,31073,Petrol,Manual,2,0,1199,86,5.0,631000
Renault TRIBER,Renault,Bangalore,2020,19907,Petrol,Automatic,1,0,999,72,7.0,705000
Maruti Swift,Maruti,Bangalore,2019,21955,Petrol,Automatic,1,0,1197,83,5.0,711000
Datsun Redi Go,Datsun,Bangalore,2021,15513,Petrol,Manual,1,0,999,68,5.0,397000
Maruti Celerio,Maruti,Bangalore,2014,44064,Petrol,Automatic,1,0,998,68,5.0,363000
Hyundai GRAND I10 NIOS,Hyundai,Bangalore,2022,16247,CNG,Manual,1,0,1197,69,5.0,786000
KIA SELTOS,KIA,Bangalore,2019,51695,Petrol,Manual,1,0,1497,115,5.0,1166000
Tata Tiago,Tata,Bangalore,2016,39182,Petrol,Manual,2,0,1199,85,5.0,386300
Tata Harrier,Tata,Bangalore,2021,46225,Diesel,Manual,1,0,1956,170,5.0,1375000
Honda Jazz,Honda,Bangalore,2020,62299,Petrol,Manual,1,0,1199,90,5.0,803000
Hyundai Verna,Hyundai,Bangalore,2013,46332,Diesel,Manual,1,0,1582,128,5.0,536000
Maruti S Cross,Maruti,Bangalore,2016,78922,Diesel,Manual,2,0,1248,90,5.0,736000
Nissan Micra Active,Nissan,Bangalore,2014,51391,Petrol,Manual,1,0,1198,68,5.0,324000
Honda Jazz,Honda,Bangalore,2012,32864,Petrol,Manual,2,0,1198,90,5.0,382000
Hyundai i20,Hyundai,Bangalore,2013,94514,Diesel,Manual,2,0,1396,90,5.0,359800
Volkswagen Polo,Volkswagen,Bangalore,2015,105518,Petrol,Automatic,1,0,1197,105,5.0,626000
Hyundai Elite i20,Hyundai,Bangalore,2015,88718,Petrol,Manual,3,0,1197,83,5.0,493000
Nissan Micra,Nissan,Bangalore,2018,24353,Petrol,Automatic,1,0,1198,77,5.0,465000
Hyundai GRAND I10 NIOS,Hyundai,Bangalore,2022,17693,Petrol,Manual,1,0,998,100,5.0,698000
